,time,accuracy,hamming,iter,method,tol,rtol,p,N,l1
gglasso-block_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.5,0.9487943904996428,2.1585418188577616e-05,7878,0,gglasso-block,1e-06,1e-06,4000,4400,0.5
regain_tol_0.0001_rtol_0.0001_p_4000_N_4400_l1_0.5,186.09933482949964,0.01153092763291597,7882,13,regain,0.0001,0.0001,4000,4400,0.5
regain_tol_1e-05_rtol_1e-05_p_4000_N_4400_l1_0.5,274.3256683135005,0.001063663491912291,7878,20,regain,1e-05,1e-05,4000,4400,0.5
regain_tol_5e-06_rtol_5e-06_p_4000_N_4400_l1_0.5,300.63749708149953,0.0005416836818988466,7878,22,regain,5e-06,5e-06,4000,4400,0.5
regain_tol_1e-06_rtol_1e-06_p_4000_N_4400_l1_0.5,469.8466795024997,1.383874860648919e-05,7878,35,regain,1e-06,1e-06,4000,4400,0.5
sklearn_tol_0.01_enet_0.0001_p_4000_N_4400_l1_0.5,103.63860968249992,2.3036231150510657e-08,7878,2,sklearn,0.01,0.0001,4000,4400,0.5
sklearn_tol_0.1_enet_0.0001_p_4000_N_4400_l1_0.5,103.93284117199983,2.3036231150510657e-08,7878,2,sklearn,0.1,0.0001,4000,4400,0.5
gglasso_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.05,62.693217341000036,0.21618366623835564,3534,3,gglasso,1e-06,1e-06,5000,5500,0.05
gglasso_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.05,174.2609635875001,0.034883854031781326,3416,9,gglasso,1e-07,1e-07,5000,5500,0.05
gglasso_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.05,212.34497747299974,0.01686227599501581,3434,11,gglasso,5e-08,5e-08,5000,5500,0.05
gglasso_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.05,308.622915334,0.0028869673696177954,3496,16,gglasso,1e-08,1e-08,5000,5500,0.05
gglasso-block_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.05,4.347378867000771,0.006888697668110848,3412,0,gglasso-block,1e-06,1e-06,5000,5500,0.05
gglasso-block_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.05,5.745072753999011,0.00011996188069865604,3572,0,gglasso-block,1e-07,1e-07,5000,5500,0.05
gglasso-block_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.05,6.312065195500509,5.761081267173289e-05,3632,0,gglasso-block,5e-08,5e-08,5000,5500,0.05
gglasso-block_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.05,7.5484448355000495,3.056767983522956e-05,3672,0,gglasso-block,1e-08,1e-08,5000,5500,0.05
regain_tol_0.0001_rtol_0.0001_p_5000_N_5500_l1_0.05,287.0422784625007,0.011781455807642532,3444,11,regain,0.0001,0.0001,5000,5500,0.05
regain_tol_1e-05_rtol_1e-05_p_5000_N_5500_l1_0.05,574.510981437501,0.0001990513067380861,3590,23,regain,1e-05,1e-05,5000,5500,0.05
regain_tol_5e-06_rtol_5e-06_p_5000_N_5500_l1_0.05,671.8228913874991,8.867078856157142e-05,3638,27,regain,5e-06,5e-06,5000,5500,0.05
regain_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.05,896.0965119449975,3.564891574795438e-05,3672,36,regain,1e-06,1e-06,5000,5500,0.05
sklearn_tol_0.1_enet_0.0001_p_5000_N_5500_l1_0.05,200.19822922250023,2.4589990330904245e-05,3684,2,sklearn,0.1,0.0001,5000,5500,0.05
sklearn_tol_0.01_enet_0.0001_p_5000_N_5500_l1_0.05,269.3157513060005,1.796082791099e-05,3684,3,sklearn,0.01,0.0001,5000,5500,0.05
gglasso_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.1,62.312237053000445,0.20376959520448273,8182,3,gglasso,1e-06,1e-06,5000,5500,0.1
gglasso_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.1,177.44333495950013,0.029210861939927314,7612,9,gglasso,1e-07,1e-07,5000,5500,0.1
gglasso_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.1,212.4388386669998,0.01328876104011478,7612,11,gglasso,5e-08,5e-08,5000,5500,0.1
gglasso_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.1,288.71842886750073,0.0028187072961036847,7612,15,gglasso,1e-08,1e-08,5000,5500,0.1
gglasso-block_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.1,2.7465240020001147,1.6464961326955462e-05,7610,0,gglasso-block,1e-06,1e-06,5000,5500,0.1
gglasso-block_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.1,2.8319022654995933,1.8621245051157655e-06,7610,0,gglasso-block,1e-07,1e-07,5000,5500,0.1
gglasso-block_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.1,2.8358358784998927,9.27410270634686e-07,7610,0,gglasso-block,5e-08,5e-08,5000,5500,0.1
gglasso-block_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.1,3.0560042024990253,1.9754215620006055e-07,7610,0,gglasso-block,1e-08,1e-08,5000,5500,0.1
regain_tol_0.0001_rtol_0.0001_p_5000_N_5500_l1_0.1,265.5434175070004,0.01328876104011484,7612,10,regain,0.0001,0.0001,5000,5500,0.1
regain_tol_1e-05_rtol_1e-05_p_5000_N_5500_l1_0.1,553.2656867034984,0.00013371141784541342,7612,22,regain,1e-05,1e-05,5000,5500,0.1
regain_tol_5e-06_rtol_5e-06_p_5000_N_5500_l1_0.1,625.9064073490008,8.555834607285979e-05,7610,25,regain,5e-06,5e-06,5000,5500,0.1
regain_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.1,751.6222657695016,4.9206605174866494e-05,7610,30,regain,1e-06,1e-06,5000,5500,0.1
sklearn_tol_0.1_enet_0.0001_p_5000_N_5500_l1_0.1,197.89199414500035,2.4356274749819098e-06,7610,2,sklearn,0.1,0.0001,5000,5500,0.1
sklearn_tol_0.01_enet_0.0001_p_5000_N_5500_l1_0.1,198.19028928749958,2.4356274749819098e-06,7610,2,sklearn,0.01,0.0001,5000,5500,0.1
gglasso_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.5,58.01098617600019,0.2018615853520497,9980,3,gglasso,1e-06,1e-06,5000,5500,0.5
gglasso_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.5,189.51515268350022,0.027574024494276754,9838,10,gglasso,1e-07,1e-07,5000,5500,0.5
gglasso_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.5,227.1776187280002,0.012549902313631421,9838,12,gglasso,5e-08,5e-08,5000,5500,0.5
gglasso_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.5,303.16196378250015,0.002655838120768289,9838,16,gglasso,1e-08,1e-08,5000,5500,0.5
gglasso-block_tol_1e-07_rtol_1e-07_p_5000_N_5500_l1_0.5,1.8261558909998712,1.2708432462591446e-06,9838,0,gglasso-block,1e-07,1e-07,5000,5500,0.5
gglasso-block_tol_5e-08_rtol_5e-08_p_5000_N_5500_l1_0.5,1.840656422500615,5.543696172434546e-07,9838,0,gglasso-block,5e-08,5e-08,5000,5500,0.5
gglasso-block_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.5,1.845748799500143,1.0187836882591803e-05,9838,0,gglasso-block,1e-06,1e-06,5000,5500,0.5
gglasso-block_tol_1e-08_rtol_1e-08_p_5000_N_5500_l1_0.5,1.9556297354993148,1.0380467346533203e-07,9838,0,gglasso-block,1e-08,1e-08,5000,5500,0.5
regain_tol_0.0001_rtol_0.0001_p_5000_N_5500_l1_0.5,290.3659891549996,0.012549902313631334,9838,11,regain,0.0001,0.0001,5000,5500,0.5
regain_tol_1e-05_rtol_1e-05_p_5000_N_5500_l1_0.5,433.1960507224994,0.0012290673381428112,9838,17,regain,1e-05,1e-05,5000,5500,0.5
regain_tol_5e-06_rtol_5e-06_p_5000_N_5500_l1_0.5,530.6984264680013,0.0002653189838298834,9838,21,regain,5e-06,5e-06,5000,5500,0.5
regain_tol_1e-06_rtol_1e-06_p_5000_N_5500_l1_0.5,747.6114471389992,1.7690174020162492e-05,9838,30,regain,1e-06,1e-06,5000,5500,0.5
sklearn_tol_0.01_enet_0.0001_p_5000_N_5500_l1_0.5,197.46387963000052,1.1916352069911913e-08,9838,2,sklearn,0.01,0.0001,5000,5500,0.5
sklearn_tol_0.1_enet_0.0001_p_5000_N_5500_l1_0.5,199.19201068500024,1.1916352069911913e-08,9838,2,sklearn,0.1,0.0001,5000,5500,0.5
